"comparison","status","pattern","n_groups","taxon_label","taxon_id","Ctrl","BL15","BL30","Kingdom","Phylum","Class","Order","Family","Genus","Species","Hydrolysate","D07","D30","D90","Feed"
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00001","ASV00001",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","shared_partial","BL15&BL30",2,"ASV00002","ASV00002",FALSE,TRUE,TRUE,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00003","ASV00003",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00004","ASV00004",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00005","ASV00005",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","shared_partial","BL15&BL30",2,"ASV00007","ASV00007",FALSE,TRUE,TRUE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00008","ASV00008",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00010","ASV00010",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00011","ASV00011",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00013","ASV00013",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00014","ASV00014",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","shared_partial","Ctrl&BL15",2,"ASV00032","ASV00032",TRUE,TRUE,FALSE,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes",,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00001","ASV00001",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","exclusive","Hydrolysate",1,"ASV00002","ASV00002",FALSE,,,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00003","ASV00003",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00004","ASV00004",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00005","ASV00005",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","exclusive","Hydrolysate",1,"ASV00007","ASV00007",FALSE,,,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00008","ASV00008",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00010","ASV00010",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00011","ASV00011",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
