"taxon_id","group","prevalence","samples_present","samples_total","taxon_label","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV00001","Ctrl_D07",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","Ctrl_D30",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","Ctrl_D90",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL15_D07",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL15_D30",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL15_D90",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL30_D07",1,15,15,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL30_D30",1,14,14,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00001","BL30_D90",0.928571428571429,13,14,"Vibrio","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",
"ASV00002","Ctrl_D07",0.2,3,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","Ctrl_D30",0.266666666666667,4,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","Ctrl_D90",1,15,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL15_D07",0.0666666666666667,1,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL15_D30",0.533333333333333,8,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL15_D90",1,15,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL30_D07",0.133333333333333,2,15,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL30_D30",0.785714285714286,11,14,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00002","BL30_D90",1,14,14,"Unclassified Mycoplasmataceae genus","Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,
"ASV00006","Ctrl_D07",0.6,9,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","Ctrl_D30",0,0,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","Ctrl_D90",0.0666666666666667,1,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","BL15_D07",0.466666666666667,7,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","BL15_D30",0,0,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","BL15_D90",0,0,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","BL30_D07",0.4,6,15,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","BL30_D30",0,0,14,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00006","BL30_D90",0,0,14,"Delftia","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",
"ASV00007","Ctrl_D07",0.4,6,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","Ctrl_D30",0.4,6,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","Ctrl_D90",0.666666666666667,10,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D07",0.6,9,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D30",0.666666666666667,10,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL15_D90",0.6,9,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL30_D07",0.8,12,15,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL30_D30",0.357142857142857,5,14,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00007","BL30_D90",0.428571428571429,6,14,"Cetobacterium","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",
"ASV00009","Ctrl_D07",0,0,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","Ctrl_D30",0.266666666666667,4,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","Ctrl_D90",0.0666666666666667,1,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","BL15_D07",0.2,3,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","BL15_D30",0.733333333333333,11,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","BL15_D90",0.133333333333333,2,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","BL30_D07",0.333333333333333,5,15,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","BL30_D30",0.785714285714286,11,14,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00009","BL30_D90",0.285714285714286,4,14,"Photobacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",
"ASV00012","Ctrl_D07",0.6,9,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","Ctrl_D30",0,0,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","Ctrl_D90",0,0,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","BL15_D07",0.333333333333333,5,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","BL15_D30",0,0,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","BL15_D90",0,0,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","BL30_D07",0.4,6,15,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","BL30_D30",0,0,14,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00012","BL30_D90",0,0,14,"Candidatus Hamiltonella","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",
"ASV00017","Ctrl_D07",0.6,9,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","Ctrl_D30",0,0,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","Ctrl_D90",0,0,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","BL15_D07",0.333333333333333,5,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","BL15_D30",0,0,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","BL15_D90",0,0,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","BL30_D07",0.4,6,15,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","BL30_D30",0,0,14,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00017","BL30_D90",0,0,14,"Buchnera","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",
"ASV00018","Ctrl_D07",0.0666666666666667,1,15,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","Ctrl_D30",0.133333333333333,2,15,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","Ctrl_D90",0.133333333333333,2,15,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","BL15_D07",0.0666666666666667,1,15,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","BL15_D30",0,0,15,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","BL15_D90",0.266666666666667,4,15,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","BL30_D07",0.133333333333333,2,15,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","BL30_D30",0,0,14,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00018","BL30_D90",0.142857142857143,2,14,"Mitochondria","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV00019","Ctrl_D07",0.6,9,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","Ctrl_D30",0,0,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","Ctrl_D90",0.0666666666666667,1,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","BL15_D07",0.333333333333333,5,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","BL15_D30",0,0,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","BL15_D90",0,0,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","BL30_D07",0.4,6,15,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","BL30_D30",0,0,14,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
"ASV00019","BL30_D90",0,0,14,"Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",
