"comparison","status","pattern","n_groups","taxon_label","taxon_id","Ctrl","BL15","BL30","Kingdom","Phylum","Class","Order","Family","Genus","Species","Hydrolysate","D07","D30","D90","Feed"
"diet_global","shared_partial","BL15&BL30",2,"Cetobacterium","ASV00007",FALSE,TRUE,TRUE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_global","shared_partial","Ctrl&BL15",2,"Cutibacterium","ASV00032",TRUE,TRUE,FALSE,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",,,,,,
"diet_global","shared_partial","BL15&BL30",2,"Unclassified Mycoplasmataceae genus","ASV00002",FALSE,TRUE,TRUE,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"Vibrio","ASV00001",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"hydro_global","exclusive","Hydrolysate",1,"Cetobacterium","ASV00007",FALSE,,,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,TRUE,,,,
"hydro_global","exclusive","Ctrl",1,"Cutibacterium","ASV00032",TRUE,,,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",,FALSE,,,,
"hydro_global","exclusive","Hydrolysate",1,"Unclassified Mycoplasmataceae genus","ASV00002",FALSE,,,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"Vibrio","ASV00001",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"Acinetobacter","ASV00045",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",,,,,,
"diet_D07","exclusive","Ctrl",1,"Anaerobutyricum","ASV00080",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum",,,,,,
"diet_D07","exclusive","Ctrl",1,"Anaerostipes","ASV00138",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes",,,,,,
"diet_D07","exclusive","Ctrl",1,"Bacteroides","ASV00019",TRUE,FALSE,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,,,,
"diet_D07","exclusive","Ctrl",1,"Blautia","ASV00025",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,,,,
"diet_D07","exclusive","Ctrl",1,"Brevundimonas","ASV00052",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",,,,,,
"diet_D07","exclusive","Ctrl",1,"Buchnera","ASV00017",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,,,,
"diet_D07","exclusive","Ctrl",1,"Candidatus Hamiltonella","ASV00012",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,,,,
"diet_D07","shared_partial","BL15&BL30",2,"Cetobacterium","ASV00007",FALSE,TRUE,TRUE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"Cutibacterium","ASV00032",TRUE,TRUE,TRUE,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",,,,,,
"diet_D07","exclusive","Ctrl",1,"Delftia","ASV00006",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,,,,
"diet_D07","exclusive","Ctrl",1,"Lachnospiraceae NK4A136 group","ASV00134",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",,,,,,
